response_type,duration_sec,record_date,response_id,distribution_channel,user_lang,academia_status,dept_prof,dept_students,first_line_code,years_coding,self_id_as_coder,read_prog_book,freq_oss_proj,what_os,time_cleaning_code,time_data_clean_prog,time_data_clean_gui,time_exp_manip,time_field_data_coll,time_grant_writing,time_lit_review,time_meeting,time_read_doc,time_digital_data_coll,time_paper_writing,self_expect_time_coding,value_comp_skills_wrt_domain,more_time_learning_to_code,pct_social_contacts_coding,comp_skills_factors_pursue_academia,comp_skills_pro_benefits_s,comp_skills_pro_benefits_p,comp_skills_recruiting,comp_skills_recruiting_undergrad,comp_skills_recruiting_grad,comp_skills_recruiting_postdoc,cite_code,cite_data,value_oss_license,value_coc,value_contrib_guide,value_cla,value_active,value_responsive_maintainers,value_welcoming_community,value_widespread_use,disadv_not_coding,coding_on_future_opportunities,value_share_code,value_accessibility_paper_code,value_paper_code_citability,value_learn_code_in_field,year_born,country_origin,us_state,score,name_research_group,reason_coding,how_did_you_learn_code,position_industry,freq_coding_proj,use_lang,enough_instit_support,friends_help,perceived_benefits_coding,do_share_code_online,qualities_oss,why_not_coding,pref_pronouns,underrep_group,ethnicity,nb_advisors,third_adv_dept,third_adv_expect_time_coding,second_adv_dept,first_adv_dept,first_adv_expect_time_coding,second_adv_expect_time_coding,dept_students_lab,enough_instit_support_ord,more_time_learning_to_code_ord,self_expect_time_coding_ord,value_learn_code_in_field_ord,value_comp_skills_wrt_domain_ord,value_welcoming_community_ord,value_share_code_ord,is_coder,gender_binary,first_line_code_before_18,dept_students_binary,ethnicity_binary
IP Address,1383,2022-10-06 08:38:28,R_1n2RCyjoWPi8V1K,anonymous,EN,Undergraduate student,,Mechanical Engineering B.S.,11 - 17 years,5 to 9 years,Yes,Never,Some of the software,MacOS,16-20 hours,1-5 hours,1-5 hours,0 hour,0 hour,0 hour,0 hour,0 hour,0 hour,0 hour,0 hour,Slightly too much,As valued as my research ability,"Yes, I wish I had more time to learn programming",,,Extremely likely,,,,,,I have not cited people's code,I don't cite people's data,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,,,Very important to have,Very important to have,Very important to have,Extremely important,2001,United States of America,Massachusetts,12,I do not have any research group,"School,Research,Work,Fun",School,"Engineering manager,Designer,Engineer, site reliability",Most projects,"HTML/CSS,Python,Swift",No and I wish there were,,"Data Visualization,Data simulation,Numerical analysis,Professional opportunities",I do not share my code online,"Stability,Security,User experience (ease of use),Innovation,Support",,he/him,not-underrep,White or of European descent,I do not have an advisor yet,,,,,,,Mechanical Engineering (B.S.),1,1,2,4,4,3,3,coder,male,1,STEM,white
IP Address,1800,2022-10-06 08:41:43,R_2EobHd5n20VirMQ,anonymous,EN,Graduate student,,"Sustainable Development Policy, Economics and Governance Ph.D.",25 - 34 years,1 to 2 years,Maybe,Sometimes,Always,MacOS,6-10 hours,11-15 hours,1-5 hours,6-10 hours,1-5 hours,6-10 hours,11-15 hours,11-15 hours,6-10 hours,0 hour,6-10 hours,Slightly too much,As valued as my research ability,"Yes, I wish I had more time to learn programming",70,Extremely important,Extremely likely,,,,,,I cite their academic paper,I cite their academic paper,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,,,Very important to have,Very important to have,Very important to have,Extremely important,1990,,,5,I prefer not to say,"School,Research","Other online resources (videos, blogs, etc),School",Data scientist or machine learning specialist,Most projects,"PowerShell,Python,Stata","No and that's fine, I'm learning on my own","Friends,I am on my own","Data Visualization,Database management,Data simulation,Numerical analysis,Science communication,Professional opportunities",Github,"Stability,Security,User experience (ease of use),Compatibility,Customizability,Replicability,Support,Community",,Prefer not to say,not-underrep,Prefer not to say,1,,,,Community Development and Applied Economics (CDAE),Slightly too much,,Sust. Dev Policy (Ph.D.),2,1,2,4,4,3,3,coder,,0,STEM,Prefer not to say
IP Address,628,2022-10-06 08:45:40,R_1C9qweZCpQrX8xe,anonymous,EN,Graduate student,,,25 - 34 years,2 to 4 years,No,Never,Most of the software,Windows,1-5 hours,6-10 hours,1-5 hours,,6-10 hours,0 hour,1-5 hours,1-5 hours,1-5 hours,0 hour,0 hour,Neither too much or too little,More valued than my research ability,"Yes but that's fine, I'm learning while doing",40,Very important,Extremely likely,,,,,,I have not cited people's code,"Cite using bibtex, APA, MLA etc.,I cite their academic paper",Very important to have,Very important to have,Somewhat important to have,Somewhat important to have,Very important to have,Very important to have,Somewhat important to have,Very important to have,,,Somewhat important to have,Somewhat important to have,Very important to have,Extremely important,,,,9,Fill in the blank:,"School,Research,Work",School,Data scientist or machine learning specialist,Few projects,"Python,R,Stata","No and that's fine, I'm learning on my own",Colleagues,"Data Visualization,Data simulation",I do not share my code online,"Security,User experience (ease of use),Transparency",,he/him,underrep,Black or of African descent,1,,,,Animal and Veterinary Sciences  (ASCI),Slightly too much,,,2,2,4,4,2,2,2,coder,male,0,,non-white
IP Address,1335,2022-10-06 09:51:34,R_1pPvvBl6iVgZx9d,anonymous,EN,Graduate student,,"Complex Systems and Data Science Certificate of Graduate Study, M.S., Ph.D.",11 - 17 years,5 to 9 years,Yes,Never,Most of the software,MacOS,0 hour,1-5 hours,0 hour,0 hour,0 hour,0 hour,0 hour,11-15 hours,0 hour,0 hour,1-5 hours,Slightly too little,More valued than my research ability,"Yes, I wish I had more time to learn programming",40,Moderately important,Extremely likely,,,,,,I have not cited people's code,I cite their academic paper,I do not know what it is,I do not know what it is,I do not know what it is,I do not know what it is,Somewhat important to have,Very important to have,Somewhat important to have,Very important to have,,,Somewhat important to have,Very important to have,Somewhat important to have,Extremely important,1999,United States of America,California,11,I do not have any research group,"School,Work","School,Online forums",Educator,Most projects,"Matlab,Python,R",I do not know,Colleagues,"Data Visualization,Database management,Data simulation,Numerical analysis,Web scraping,Professional opportunities",I do not share my code online,"Stability,Compatibility,Customizability,Replicability,Support,Community",,she/her,underrep,"Hispanic, Latino/a/x of Spanish Origin",1,,,,Complex Systems and Data Science,Slightly too much,,"CSDS (M.S., Ph.D.)",999,1,3,4,2,2,2,coder,female,1,STEM,non-white
IP Address,779,2022-10-06 10:17:07,R_ZlS6h0ZHQoKeObv,anonymous,EN,Graduate student,,"Complex Systems and Data Science Certificate of Graduate Study, M.S., Ph.D.",18 - 24 years,5 to 9 years,Yes,Never,Some of the software,MacOS,1-5 hours,1-5 hours,0 hour,1-5 hours,0 hour,0 hour,1-5 hours,6-10 hours,6-10 hours,1-5 hours,6-10 hours,Slightly too much,More valued than my research ability,"Yes but that's fine, I'm learning while doing",100,Very important,Extremely likely,,,,,,"Cite directly git repository as a link,Cite using BibTeX, APA, MLA etc.,I cite their academic paper","Cite directly git repository as a link,Cite using bibtex, APA, MLA etc.,I cite their academic paper",Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,,,Very important to have,Very important to have,Very important to have,Extremely important,1990,United States of America,Florida,17,I do not have any research group,"School,Research,Work,Fun,Social good","Other online resources (videos, blogs, etc),School,Online courses or certification,Professional colleague","Educator,Data scientist or machine learning specialist",On every project,"C++,HTML/CSS,Java,Julia,Matlab,Node.js,Python,R,SQL",Yes,"Friends,Colleagues,Co-supervisor","Data Visualization,Database management,Interactive learning,Data simulation,Numerical analysis,Science communication,Social good,Web scraping,Professional opportunities",Github,"Stability,Security,User experience (ease of use),Compatibility,Transparency,Customizability,Cost,Replicability,Trusted producer,Innovation,Support,Community",,he/him,not-underrep,White or of European descent,1,,,,Mathematics and Statistics,Slightly too much,,"CSDS (M.S., Ph.D.)",3,2,2,4,2,3,3,coder,male,0,STEM,white
IP Address,956,2022-10-06 10:17:11,R_0jpRF9lIxXS0D2F,anonymous,EN,Graduate student,,"Mathematical Sciences M.S., Ph.D.",18 - 24 years,5 to 9 years,Yes,Sometimes,Most of the software,Linux-based,1-5 hours,0 hour,1-5 hours,0 hour,0 hour,0 hour,0 hour,1-5 hours,1-5 hours,0 hour,0 hour,Neither too much or too little,As valued as my research ability,"Yes, I wish I had more time to learn programming",10,Slightly important,Somewhat likely,,,,,,I don't cite people's code,I cite their academic paper,Not important,Somewhat important to have,Somewhat important to have,Not important,Somewhat important to have,Not important,Very important to have,Very important to have,,,Somewhat important to have,Very important to have,Very important to have,Extremely important,1992,Ghana,,6,I do not have any research group,"School,Research","Other online resources (videos, blogs, etc),School,Books / printed  media,Online courses or certification",I never worked in industry as developer,Few projects,"Matlab,Python,R","No and that's fine, I'm learning on my own","Friends,Colleagues","Data Visualization,Interactive learning,Numerical analysis,Professional opportunities",Github,"Stability,Replicability,Support",,Prefer not to say,underrep,Black or of African descent,1,,,,Mathematics & Statistics,Neither too much nor too little,,"Mathematics (M.S., Ph.D.)",2,1,4,4,4,3,2,coder,,0,STEM,non-white
IP Address,855,2022-10-06 10:22:57,R_2AMAdkdt9RPCfeB,anonymous,EN,Graduate student,,"Mathematical Sciences M.S., Ph.D.",18 - 24 years,2 to 4 years,Yes,Never,Some of the software,MacOS,1-5 hours,0 hour,0 hour,0 hour,0 hour,0 hour,1-5 hours,0 hour,0 hour,0 hour,1-5 hours,Neither too much or too little,More valued than my research ability,"Yes but that's fine, I'm learning while doing",80,Very important,Somewhat likely,,,,,,I have not cited people's code,I have not cited people's data,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Not important,,,Very important to have,Very important to have,Very important to have,Extremely important,1993,United States of America,New York,5,I do not have any research group,"School,Research","Other online resources (videos, blogs, etc),School","Engineering manager,Educator",Most projects,"Matlab,Python",No and I wish there were,"Friends,Supervisor","Data Visualization,Database management,Interactive learning,Data simulation,Numerical analysis,Science communication,Social good",I do not share my code online,"Stability,Security,User experience (ease of use),Compatibility,Customizability,Cost,Community",,he/him,not-underrep,White or of European descent,1,,,,Mathematics and Statistics,Neither too much nor too little,,"Mathematics (M.S., Ph.D.)",1,2,4,4,2,3,3,coder,male,0,STEM,white
IP Address,1020,2022-10-06 10:40:39,R_1gokfXyXsElEAwS,anonymous,EN,Graduate student,,"Computer Science M.S., Ph.D.",18 - 24 years,10 to 14 years,Yes,Sometimes,Some of the software,Linux-based,6-10 hours,0 hour,0 hour,0 hour,0 hour,16-20 hours,11-15 hours,1-5 hours,1-5 hours,0 hour,1-5 hours,Far too much,As valued as my research ability,"Yes but that's fine, I'm learning while doing",10,Extremely important,Extremely likely,,,,,,"Cite using BibTeX, APA, MLA etc.,I cite their academic paper","Cite using bibtex, APA, MLA etc.,I cite their academic paper",Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,,,Very important to have,Very important to have,Very important to have,Extremely important,1996,Bangladesh,,8,Fill in the blank:,"School,Research,Work","Other online resources (videos, blogs, etc),School,Books / printed  media,Online courses or certification,Online forums,Friend or family member,Professional colleague","Developer, back-end",On every project,"Assembly,C,C++,HTML/CSS,Java,Javascript,Node.js,Python,SQL","No and that's fine, I'm learning on my own",I am on my own,"Data Visualization,Database management,Interactive learning,Data simulation,Numerical analysis,Science communication,Social good,Web scraping,Professional opportunities,Other","Github,Gitlab","Stability,Security,User experience (ease of use),Compatibility,Transparency,Customizability,Cost,Replicability,Trusted producer,Innovation,Support,Community",,she/her,not-underrep,Southeast Asian,1,,,,Computer Science,Far too much,,"Computer Science (M.S., Ph.D.)",2,2,1,4,4,3,3,coder,female,0,STEM,non-white
IP Address,1800,2022-10-06 10:44:51,R_3gTovzjWIyJY8YG,anonymous,EN,Graduate student,,"Complex Systems and Data Science Certificate of Graduate Study, M.S., Ph.D.",18 - 24 years,1 to 2 years,No,Never,Most of the software,MacOS,1-5 hours,6-10 hours,0 hour,0 hour,1-5 hours,0 hour,1-5 hours,1-5 hours,1-5 hours,0 hour,1-5 hours,Neither too much or too little,More valued than my research ability,"Yes but that's fine, I'm learning while doing",50,Moderately important,Extremely likely,,,,,,I have not cited people's code,I have not cited people's data,Very important to have,Somewhat important to have,Somewhat important to have,Somewhat important to have,Very important to have,Somewhat important to have,Somewhat important to have,Very important to have,,,Very important to have,Very important to have,Somewhat important to have,Extremely important,1998,United States of America,Maine,8,I do not have any research group,"School,Research,Work","Other online resources (videos, blogs, etc),School,Online courses or certification,Online forums",Data Management,On every project,"C++,Java,Matlab,Python,R",I do not know,"Friends,Colleagues","Data Visualization,Database management,Data simulation,Numerical analysis,Science communication,Social good,Web scraping,Professional opportunities",,"Stability,User experience (ease of use),Compatibility,Customizability,Cost,Replicability,Trusted producer,Community",,she/her,not-underrep,White or of European descent,1,,,,Complex Systems and Data Science,Neither too much nor too little,,"CSDS (M.S., Ph.D.)",999,2,4,4,2,2,3,coder,female,0,STEM,white
IP Address,554,2022-10-06 11:05:11,R_73sX2m58ufxHQqd,anonymous,EN,Graduate student,,"Complex Systems and Data Science Certificate of Graduate Study, M.S., Ph.D.",18 - 24 years,5 to 9 years,Maybe,Sometimes,Some of the software,Windows,0 hour,0 hour,1-5 hours,1-5 hours,0 hour,0 hour,1-5 hours,11-15 hours,6-10 hours,0 hour,0 hour,Far too much,Prefer not to say,"Yes, I wish I had more time to learn programming",,,Extremely likely,,,,,,I don't cite people's code,I have not cited people's data,Somewhat important to have,Somewhat important to have,Somewhat important to have,I do not know what it is,Somewhat important to have,Somewhat important to have,Somewhat important to have,Somewhat important to have,,,Somewhat important to have,Somewhat important to have,Somewhat important to have,Very important,1979,United States of America,Illinois,10,I do not have any research group,"School,Work,Fun","School,Books / printed  media,Online courses or certification",analyst,Few projects,"Python,SQL",No and I wish there were,,"Data Visualization,Interactive learning,Data simulation,Numerical analysis,Science communication,Professional opportunities",I do not share my code online,"Stability,User experience (ease of use),Customizability,Support",,she/her,not-underrep,White or of European descent,I do not have an advisor yet,,,,,,,"CSDS (M.S., Ph.D.)",1,1,1,3,999,2,2,coder,female,0,STEM,white
IP Address,941,2022-10-06 12:56:25,R_3qZJ6MfST7XQ07h,anonymous,EN,Graduate student,,"Complex Systems and Data Science Certificate of Graduate Study, M.S., Ph.D.",18 - 24 years,5 to 9 years,Yes,Never,Some of the software,MacOS,1-5 hours,6-10 hours,0 hour,1-5 hours,1-5 hours,0 hour,1-5 hours,1-5 hours,1-5 hours,1-5 hours,6-10 hours,Slightly too much,As valued as my research ability,"Yes but that's fine, I'm learning while doing",70,Very important,Extremely likely,,,,,,Cite directly git repository as a link,Cite directly git repository as a link,Somewhat important to have,Not important,Somewhat important to have,Not important,Very important to have,Very important to have,Not important,Very important to have,,,Very important to have,Very important to have,Very important to have,Extremely important,2000,United States of America,Colorado,6,I do not have any research group,"School,Work",School,I never worked in industry as developer,Most projects,"C++,Javascript,Python,R,SQL",Yes,Friends,"Data Visualization,Interactive learning,Data simulation,Numerical analysis,Science communication,Social good,Professional opportunities",Github,"Stability,User experience (ease of use),Replicability",,she/her,underrep,White or of European descent,1,,,,Complex Systems and Data Science,Slightly too much,,"CSDS (M.S., Ph.D.)",3,2,2,4,4,1,3,coder,female,0,STEM,white
IP Address,887,2022-10-06 13:06:11,R_3oWR5OzXD9BXPFn,anonymous,EN,Graduate student,,"Complex Systems and Data Science Certificate of Graduate Study, M.S., Ph.D.",18 - 24 years,2 to 4 years,Yes,Never,Most of the software,MacOS,1-5 hours,1-5 hours,0 hour,1-5 hours,0 hour,0 hour,0 hour,1-5 hours,1-5 hours,0 hour,0 hour,Neither too much or too little,As valued as my research ability,"Yes but that's fine, I'm learning while doing",90,Moderately important,Extremely likely,,,,,,I have not cited people's code,"Cite directly git repository as a link,Cite using bibtex, APA, MLA etc.",Not important,Not important,Not important,Not important,Somewhat important to have,Somewhat important to have,Somewhat important to have,Very important to have,,,Very important to have,Very important to have,Somewhat important to have,Extremely important,2000,United States of America,Massachusetts,12,I do not have any research group,"School,Research,Work,Fun","School,Books / printed  media",I never worked in industry as developer,On every project,"C++,HTML/CSS,Javascript,Python,R,SQL","No and that's fine, I'm learning on my own","Friends,Colleagues,Supervisor","Data Visualization,Database management,Interactive learning,Data simulation,Numerical analysis,Web scraping","Github,Personal websites","User experience (ease of use),Transparency,Customizability,Cost,Replicability",,she/her,underrep,White or of European descent,2,,,Complex Systems and Data Science,Complex Systems and Data Science,Neither too much nor too little,Neither too much nor too little,"CSDS (M.S., Ph.D.)",2,2,4,4,4,2,3,coder,female,0,STEM,white
IP Address,387,2022-10-06 14:18:47,R_2c64e8iUaPOH62L,anonymous,EN,Undergraduate student,,,5 - 10 years,5 to 9 years,Yes,Never,Most of the software,MacOS,1-5 hours,0 hour,0 hour,0 hour,0 hour,0 hour,0 hour,1-5 hours,1-5 hours,0 hour,0 hour,Neither too much or too little,More valued than my research ability,"Yes but that's fine, I'm learning while doing",,,Extremely likely,,,,,,I have not cited people's code,I have not cited people's data,Not important,Not important,Not important,Not important,Very important to have,Somewhat important to have,Very important to have,Somewhat important to have,,,Very important to have,Very important to have,Not important,Extremely important,2000,United States of America,Massachusetts,10,I do not have any research group,"School,Work,Fun",Friend or family member,"Developer, desktop or enterprise applications,Developer, back-end,Developer, full-stack,Developer, front-end",On every project,"HTML/CSS,Javascript,Node.js,Python,R,Ruby,SQL,TypeScript","No and that's fine, I'm learning on my own",,"Data Visualization,Interactive learning,Data simulation,Numerical analysis,Social good,Web scraping","Github,Gitlab","Stability,User experience (ease of use),Cost,Replicability,Innovation",,he/him,not-underrep,White or of European descent,I do not have an advisor yet,,,,,,,,2,2,4,4,2,3,3,coder,male,1,,white
IP Address,1138,2022-10-08 10:26:04,R_WCcpDWT3a5yC2tz,anonymous,EN,Graduate student,,"Complex Systems and Data Science Certificate of Graduate Study, M.S., Ph.D.",18 - 24 years,Less than 1 year,No,Never,Most of the software,Windows,0 hour,0 hour,0 hour,0 hour,0 hour,0 hour,0 hour,0 hour,1-5 hours,0 hour,0 hour,Far too much,As valued as my research ability,"Yes, I wish I had more time to learn programming",90,Extremely important,Extremely likely,,,,,,I have not cited people's code,I have not cited people's data,Somewhat important to have,I do not know what it is,Somewhat important to have,I do not know what it is,Somewhat important to have,Somewhat important to have,Somewhat important to have,Very important to have,,,Very important to have,Very important to have,Very important to have,Extremely important,2000,United States of America,California,15,I do not have any research group,"School,Research",School,I never worked in industry as developer,On every project,"Matlab,Python",No and I wish there were,"Friends,Colleagues","Data Visualization,Interactive learning,Data simulation,Numerical analysis,Science communication,Social good",I do not share my code online,"Stability,User experience (ease of use),Support,Community",,he/him,underrep,"Hispanic or Latino/a/x,Indigenous (such as Native American, Pacific Islander, or Indigenous Australian)",2,,,Complex Systems and Data Science,Complex Systems and Data Science,Far too much,Far too much,"CSDS (M.S., Ph.D.)",1,1,1,4,4,2,3,coder,male,0,STEM,non-white
IP Address,1015,2022-10-08 14:32:21,R_1gMb3cQHTaJRHvr,anonymous,EN,Graduate student,,Community Resilience and Planning Certificate of Graduate Study,18 - 24 years,Prefer not to say,Maybe,Regularly,Some of the software,MacOS,1-5 hours,1-5 hours,1-5 hours,6-10 hours,0 hour,0 hour,11-15 hours,6-10 hours,6-10 hours,0 hour,11-15 hours,Slightly too much,As valued as my research ability,"Yes, I wish I had more time to learn programming",100,Slightly important,Extremely likely,,,,,,"Cite using BibTeX, APA, MLA etc.","Cite using bibtex, APA, MLA etc.",Not important,Not important,I do not know what it is,Not important,Somewhat important to have,Somewhat important to have,Somewhat important to have,Very important to have,,,I don't know,I don't know,I don't know,Extremely important,1962,United States of America,Indiana,5,Fill in the blank:,"School,Research",School,"Database administrator,Designer,Other",Most projects,"HTML/CSS,Javascript,Matlab,Python,Other",No and I wish there were,"Friends,Colleagues,Co-supervisor,Supervisor,Other","Data Visualization,Database management,Interactive learning,Data simulation,Science communication,Social good",I do not share my code online,"Stability,User experience (ease of use),Compatibility,Trusted producer,Support",,she/her,underrep,White or of European descent,2,,,Computer Science,Mathematics and Statistics,Slightly too little,Slightly too little,CRP (Grad Certificate),1,1,2,4,4,2,998,coder,female,0,Non-STEM,white
IP Address,793,2022-10-11 09:48:19,R_CkLfbsH44mGCZ3z,anonymous,EN,Graduate student,,Biomedical Engineering Ph.D.,18 - 24 years,10 to 14 years,Maybe,Never,Some of the software,Windows,1-5 hours,1-5 hours,0 hour,1-5 hours,0 hour,0 hour,1-5 hours,1-5 hours,0 hour,0 hour,1-5 hours,Slightly too much,As valued as my research ability,"Yes but that's fine, I'm learning while doing",100,Not at all important,Extremely likely,,,,,,I have not cited people's code,"I cite their academic paper,I have not cited people's data",Somewhat important to have,Not important,Very important to have,Not important,Somewhat important to have,Somewhat important to have,Somewhat important to have,Somewhat important to have,,,Somewhat important to have,Somewhat important to have,Somewhat important to have,Extremely important,1990,United States of America,Ohio,12,I prefer not to say,"School,Research,Work,Fun","School,Online forums",I never worked in industry as developer,Most projects,"PowerShell,Python,Other",I do not know,"Colleagues,Supervisor,Other","Data Visualization,Database management,Interactive learning,Data simulation,Numerical analysis,Science communication,Social good,Professional opportunities","Github,I do not share my code online","Stability,Security,User experience (ease of use),Compatibility,Transparency,Replicability,Support,Community",,she/her,not-underrep,White or of European descent,1,,,,Electrical & Biomedical Engineering,Slightly too much,,Biomedical Engineering (Ph.D.),999,2,2,4,4,2,2,coder,female,0,STEM,white
IP Address,112,2022-10-14 06:49:01,R_bJEi7XQLGWe6GPf,anonymous,EN,Graduate student,,"Complex Systems and Data Science Certificate of Graduate Study, M.S., Ph.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,I do not have any research group,School,,,,,,,,,,,,not-underrep,,I do not have an advisor yet,,,,,,,"CSDS (M.S., Ph.D.)",999,999,999,999,999,999,999,coder,,999,STEM,
